"0","library(magrittr)"
"0","library(ggplot2)"
"0","#library(ggrepel)"
"0","library(GenomicRanges)"
"0",""
"0","library(org.Dm.eg.db)"
"0","library(AnnotationDbi)"
"0",""
"0","library(EnrichedHeatmap)"
"0","library(ComplexHeatmap)"
"0",""
"0","#library(GO.db)"
"0",""
"0","#library(patchwork)"
"0",""
"0","source('utils.R')"
"0","source('NystLib/R/peakUtils.R') #TODO move/rewrite getPeakData from NystLib to utils.R"
"0",""
"0","## load data"
"0",""
"0","load('rData/sheets.rda')"
"0","load('rData/peaks.rda')"
"2","Warning in for (pair in pairs) { :"
"2","
 "
"2"," closing unused connection 3 (~/McKay/Motif_databases/FLY/fly_factor_survey.meme)
"
"0","load('rData/rnaiScreen.rda')"
"0",""
"0","#TODO move RNAseq data into BAP project"
"0","# TODO this is in progress - mixed across directories"
"0","load('rData/wing-rnaseq-GeTMM.RData')  # GeTMM normalized RNAseq"
"0","#loads 'wing.rnaseq'"
"0",""
"0","#load('rData/wing-rnaseq-DDS.RData')  # loads dds.results "
"0","## TODO -- no id validation yet need to fix"
"0","#rna.dds <- dds.results %>%"
"0","#  dplyr::filter(baseMean_6h > 0) %>%"
"0","#  tibble::rownames_to_column(var = 'Geneid')"
"0",""
"0","ON.genes <- wing.rnaseq %>%"
"0","  dplyr::filter(mean >= 2) %>%"
"0","  dplyr::select(Geneid) "
"0",""
"0","ON.genes %>% write.table('on-rnaseq.txt', sep = '\n', row.names = F, col.names = F, quote = F)"
"0","#TODO clean this up - had to write out the on list and use the flybase id validator tool... "
"0","ON.genes.validated <- read.table('Wing-RNAseq/on-genes-IDvalidation.txt', header = T) %>%"
"0","  dplyr::rename(Geneid = submitted_item, "
"0","                Validated = validated_id,"
"0","                Symbol = current_symbol)"
"0",""
"0","#TODO move flyfactor database to BAP - code to download to repo?"
"0","## load in a flyfacotr fbgn validated .txt - generated with Flybase id validator"
"0",""
"0","## there are 2 'FlyFactor' FBgn codes that are updated two more than 1 unique 'Validated' FBgns in `fbgn.validated`"
"0","# FBgn0051782 -- CG31782 in flyfactor - old annotation? no present in Flybase, maybe split into three differen pseudogene annos now"
"0","# FBgn0050420 -- is only Atf-2 in flyfactor db"
"0","fbgn.validated <- read.table('fbgn_validated.txt', header = F, sep = '\t')"
"0","colnames(fbgn.validated) <- c('FlyFactor', 'Validated', 'Symbol')"
"0","fbgn.validated %<>% "
"0","  dplyr::filter(FlyFactor != 'FBgn0051782') %>% #drop this FBgn, problematic update to multiple new FBgns of pseudogenes"
"0","  dplyr::filter(Validated != 'FBgn0265182') # drop this Validated FBgn, which is an incorrectly updated from FBgn0050420"
"0",""
"0","## global variables"
"0","###"
"0","# assign global variables"
"0","###"
"0",""
"0","dm6 <- BSgenome.Dmelanogaster.UCSC.dm6::BSgenome.Dmelanogaster.UCSC.dm6"
"0","#dm3 <- BSgenome.Dmelanogaster.UCSC.dm3::BSgenome.Dmelanogaster.UCSC.dm3"
"0","dm6.TxDb <- TxDb.Dmelanogaster.UCSC.dm6.ensGene::TxDb.Dmelanogaster.UCSC.dm6.ensGene"
"0",""
"0","dm6.promoters <- ChIPseeker::getPromoters(dm6.TxDb, upstream = 500, downstream = 100) "
